"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"California",1,330000,335000,336900,339900,340900,345000,339500,339900,329900,324800,315000,299900,299000,294900,299000,299000,299950,299900,299900,299900,299000,298900,289500,284900,280500,285000,289000,295000,299900,309900,318000,320000,323995,325000,327190,324900,329000,349900,365000,384900,399500,405000,415000,410000,415000,410000,399900,399000,395000,399000,410000,425000,429000,434925,435000,429950,425000,420000,419900,399500,404996,415000,425000,435000,449000,450000,449500,450000,454999,455000,450000,449900,449000,457810.5,469000,479900,489000,495000,495000,489000,489000,489000,480000,475000,475000,485000,499000,500704.5,510000,514888,510000,5e+05,505990,507800,499999,499000,499000,5e+05,519950,529900,539000,544000,539500,535000
"Texas",2,169900,169900,169900,170000,174300,174900,169999,169900,173000,172500,172000,169900,168470,168000,169900,169725,169990,170990,170000,169990,168900,168900,167000,167000,166000,169000,169900,170430,174900,175000,174900,174800,172500,171990,174000,174990,174900,179500,182900,185250,189500,189900,189900,189900,190000,194000,190000,191990,193500,199000,201990,209990,215000,213990,214900,219900,219000,219000,220000,225000,229900,234900,239900,245000,245000,245000,247214,249000,249500,249950,250000,256500,255000,248500,251950,255000,259000,259895,259500,259000,257950,259900,255000,255000,254900,259900,265000,270000,274950,275000,272990,270000,269900,269900,269500,269500,269894.5,270900,275000,279000,279990,279919,279500,275000
"New York",3,349000,345000,344900,339000,349000,349000,347000,339900,345995,342500,339900,336500,330000,319000,329500,329000,325000,319996,315000,309900,305000,3e+05,3e+05,3e+05,299999,309000,3e+05,315000,315000,309000,299999,299900,299999,304000,299900,3e+05,304000,319000,319900,315000,314500,299900,299000,291748,293850,299000,299900,299990,309000,320000,323900,325000,325000,329000,320000,319500,319900,320000,325000,325000,329000,329998,334990,329990,329900,339000,329000,320000,319000,322900,320000,320000,339000,344900,339000,349900,347900,349000,329000,325000,325000,325000,334450,334900,349000,355000,355000,354900,349900,349000,345000,335000,339900,342500,348500,349000,354900,384000,389000,389000,388000,385000,375000,369000
"Florida",4,199900,199700,199000,194900,190000,188500,184900,180000,179900,176480,179000,174900,174617,174900,175000,170990,175000,176000,175000,177000,179000,179900,178200,178900,179000,179900,180000,179000,178900,179900,179999,180000,179900,175000,179900,180000,188500,190000,195000,199000,199900,199900,199900,199900,199900,199900,206990,2e+05,204900,209000,211410,215000,213000,210000,219000,219900,219900,219900,224900,224900,225990,229000,228990,229000,230000,234000,235000,240000,245000,248000,249900,250000,250000,254425,258700,260000,259900,260000,260000,259700,260999,264900,265000,268800,274840,275000,277000,279900,280000,282990,282990,280000,284990,280000,285000,285605,287500,289000,289700,290000,293990,294900,290990,289900
"Illinois",5,214900,214900,215000,214900,213900,210000,2e+05,199900,196842,195000,190000,184900,179900,179000,179900,180000,184500,183000,179900,178000,174900,169900,165000,160000,159900,160000,164427,164900,164900,165000,159999,159900,159000,155000,154900,149900,149900,154900,159900,165000,169900,173900,169900,169900,169900,165900,164900,159900,159900,165000,174900,180000,189900,191000,189900,189000,185000,184500,179900,175000,174900,179900,189900,195000,204500,204900,199900,199000,196900,194900,189900,185000,185000,192900,204000,214500,215000,215000,210000,204900,2e+05,199900,199000,190000,190000,199900,214900,220000,225000,227000,224900,219900,219900,218990,215000,208200,209900,219900,229000,235000,235900,237000,234900,230000
"Pennsylvania",6,189500,189900,189900,189900,189900,189900,189900,185000,185000,184500,180000,179900,179500,179000,179900,179900,180000,182900,179900,179900,178000,175000,174900,173900,174000,174500,175900,179000,175000,175000,174500,169900,169000,167000,165000,164900,164900,169000,169900,174900,179900,179900,175500,172000,174500,169900,169900,174900,169900,169900,174900,179900,184000,184000,179900,178900,178900,179900,177900,174900,174500,174900,179900,184900,189000,185000,184000,179900,183000,179500,179000,174900,170000,169900,179900,182500,185000,189900,184900,179900,179999,184900,179900,178000,176000,179900,190000,199000,199000,199000,197500,194900,192500,195000,195000,189900,189900,195000,199900,209000,211900,215000,212000,209000
"Ohio",7,129900,129900,129900,133900,130000,129900,129900,129900,129900,129000,126000,121900,119900,119900,120000,124400,125000,128000,126900,125500,125000,124900,124900,119900,119900,119999,123900,124900,125000,126500,125000,124900,123000,120000,120000,119890,118900,119888,120000,124900,128525.5,129500,128900,126500,125000,125000,124900,122000,120500,124900,129500,130000,134900,137900,136000,134900,134500,132900,129900,129000,129500,129991.5,134900,139000,139900,139900,139900,139900,139500,135000,134900,130000,131900,133908,136000,141900,145000,147900,148000,144900,144777,142500,139900,139000,138900,139900,147500,150000,157500,159900,159900,159700,155900,156000,150000,149900,149900,150000,159000,164900,169900,169900,169900,169900
"Michigan",8,127900,127500,125900,127500,126500,124900,122000,119900,119900,119900,117000,109997,107900,106500,106000,107900,114900,114900,114900,114900,114000,109900,109500,1e+05,99900,99900,104900,109000,109929,113450,114900,111900,109900,109500,109888,105000,107000,109900,114900,119900,124900,129700,129900,129900,129900,127000,124900,120000,119900,120000,125000,134000,139900,139900,139900,139900,139900,137500,132000,129900,129900,129900,135000,139900,145000,149900,149900,148000,145000,142000,139900,139000,135900,138000,142900,149900,153900,155000,158000,155000,154900,152900,149900,149900,149765,150000,159900,165000,169900,174900,173900,170000,169900,169900,168900,164500,164900,166500,169999,180000,184900,185000,185000,184900
"Georgia",9,179900,179900,179900,179900,179000,175000,174900,173800,169900,169900,168000,160000,159500,157000,157900,154900,155900,157500,155000,154900,153500,149900,149850,146900,145000,149000,149900,149900,150000,152900,154900,156075,156900,159000,159900,159900,162900,165990,169900,174900,177900,179900,179900,179000,179900,179000,176900,175000,174900,177000,180000,187000,189900,194500,194000,189900,189500,187500,189000,185000,185000,189000,189900,193900,196900,199000,199000,199900,199900,199900,199900,199900,199900,199900,205000,214072,219000,219900,219900,219000,219000,219900,218800,215000,215990,219900,225000,233457,236160,239132,239900,239000,239900,239900,240000,239900,241605,245200,249900,254900,258997.5,259000,254900,250000
"North Carolina",10,199900,199900,199900,199900,199900,199000,198000,194900,192900,194900,194900,189900,187500,185000,188000,189000,189900,189900,189900,189000,188000,186900,185000,182900,182000,182906.5,185000,185000,184900,184900,182000,182000,179900,179900,179900,179900,179990,184900,188900,189990,194900,199000,196900,195000,196000,195900,192999,194900,189900,192000,198500,199900,2e+05,199990,199990,199973.5,199900,199900,199900,199000,199500,2e+05,2e+05,209660,215000,219000,219000,219000,217900,219190,219000,217500,220000,220900,225000,229000,229900,229990,230000,230000,229900,232000,229900,230000,229900,232000,239000,247500,249900,250000,250000,249900,250000,252500,254500,254000,255700,256175,259900,260000,260800,263500,259900,259000
"New Jersey",11,329900,329900,339000,334900,334000,329999.5,329000,325000,320000,319000,314900,304900,299900,299000,299900,299900,299900,299900,299000,299000,295000,289900,285000,279900,279000,279900,287000,285000,288000,285000,279900,279000,279660.5,275000,274900,269000,269000,274000,279000,285000,289900,289900,289209,285900,284900,280000,279000,275000,270270,275000,284900,295000,299000,299000,299000,296000,297000,292945,289000,280000,279900,279999.5,289000,299000,299000,299900,312900,3e+05,299999,299900,299000,289000,282000,289000,299000,305000,314900,315000,313950,3e+05,299999,299900,298999.5,285000,284900,289000,299000,300976.5,314466,315000,315000,305945,309000,304101,299900,295000,289900,299900,309900,320000,329000,334900,334500,329000
"Virginia",12,242900,240000,244500,245000,245000,244900,239900,239000,239500,237500,235000,229000,225000,224900,229900,230000,236500,239000,235000,235000,232500,230000,229000,224900,224950,225000,229962.5,234900,237700,238900,235000,230757.5,229900,229500,229000,225000,225000,229900,237950,247000,249900,249900,249500,245950,245000,240000,239500,236950,237950,239000,249000,259000,265000,268000,265500,264999,264950,259990,259500,250000,249900,258850,265000,275000,279900,279950,273902,275000,275000,275000,269990,269500,265000,259990,279000,289800,292500,290000,289500,284900,282500,279900,278000,274900,269990,278999.5,289900,299900,3e+05,302257,299900,299000,299000,299600,299000,289900,289900,295000,299990,313150,315000,315000,310000,302900
